city,state_full,state
Atlanta,Georgia,GA
Chicago,Illinois,IL
Dallas,Texas,TX
Denver,Colorado,CO
Detroit,Michigan,MI
Los Angeles,California,CA
Miami,Florida,FL
Philadelphia,Pennsylvania,PA
New York,New York,NY
Sandy Springs,Georgia,GA
Roswell,Georgia,GA
Naperville,Illinois,IL
Elgin,Illinois,IL
Fort Worth,Texas,TX
Arlington,Texas,TX
Aurora,Colorado,CO
Lakewood,Colorado,CO
Warren,Michigan,MI
Dearborn,Michigan,MI
Long Beach,California,CA
Anaheim,California,CA
Fort Lauderdale,Florida,FL
West PalmBeach,Florida,FL
Newark,New Jersey,NJ
Jersey City,New Jersey,NJ
Seattle,Washington,WA
Colombus,Ohio,OH
Nashville,Tennessee,TN
Boston,Massachusetts,MA
Washington,District of Columbia,DC
