Area,Obese
Atlanta-Sandy Springs-Marietta-GA Metro Area,28.70%
Boston-Quincy-MA Metro Division,22.00%
Chicago-Naperville-Joliet-IL-IN-WI Metro Area,27.00%
Columbus-OH Metro Area,30.50%
Dallas-Plano-Irving-TX Metro Division,33.80%
Denver-Aurora-CO Metro Area,19.60%
Detroit-Livonia-Dearborn-MI Metro Division,33.10%
Los Angeles-Long Beach-Glendale-CA Metro Division,24.30%
Miami-Fort Lauderdale-Miami Beach-FL Metro Area,28.30%
Nashville-Davidson--Murfreesboro-TN Metro Area,24.70%
New York-White Plains-Wayne-NY-NJ Metro Division,21.90%
Philadelphia-PA Metro Division,24.40%
Seattle-Bellevue-Everett-WA Metro Division,22.80%
Washington-Arlington-Alexandria-DC-VA-MD-WV Metro,25.20%
